تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2013-01-01 00:00:00.000,مروى,302,575,.00
,2013-02-02 00:00:00.000,مروى,302,575,.00
,2013-03-22 00:00:00.000,مروى,301,552,.00
,2013-04-08 00:00:00.000,مروى,300,529,.00
,2013-05-17 00:00:00.000,مروى,299,509,.00
,2013-06-18 00:00:00.000,مروى,295,434,.00
,2013-07-04 00:00:00.000,مروى,292,380,.00
,2013-08-05 00:00:00.000,مروى,292,380,.00
,2013-09-06 00:00:00.000,مروى,298,488,.00
,2013-10-08 00:00:00.000,مروى,302,575,.00
,2013-11-09 00:00:00.000,مروى,302,575,.00
,2013-12-11 00:00:00.000,مروى,302,575,.00
,2014-01-12 00:00:00.000,مروى,302,575,.00
,2014-02-13 00:00:00.000,مروى,301,552,.00
,2014-03-01 00:00:00.000,مروى,300,529,.00
,2014-04-02 00:00:00.000,مروى,298,488,.00
,2014-05-04 00:00:00.000,مروى,297,469,.00
,2014-06-05 00:00:00.000,مروى,295,434,.00
,2014-07-07 00:00:00.000,مروى,292,380,.00
,2014-08-08 00:00:00.000,مروى,293,400,.00
,2014-09-09 00:00:00.000,مروى,294,417,.00
,2014-10-27 00:00:00.000,مروى,302,575,.00
,2014-11-12 00:00:00.000,مروى,302,575,.00
,2014-12-14 00:00:00.000,مروى,302,575,.00
,2015-01-15 00:00:00.000,مروى,302,575,.00
,2015-01-17 00:00:00.000,الروصيرص,494,.00,.00
,2015-02-16 00:00:00.000,مروى,300,529,.00
,2015-02-18 00:00:00.000,الروصيرص,493,.00,.00
,2015-03-06 00:00:00.000,الروصيرص,491,.00,.00
,2015-03-20 00:00:00.000,مروى,296,450,.00
,2015-04-05 00:00:00.000,مروى,296,450,.00
,2015-04-07 00:00:00.000,الروصيرص,488,.00,.00
,2015-05-18 00:00:00.000,الروصيرص,485,.00,.00
,2015-05-23 00:00:00.000,مروى,295,434,.00
,2015-06-03 00:00:00.000,الروصيرص,482,.00,.00
,2015-06-08 00:00:00.000,مروى,293,400,.00
,2015-07-10 00:00:00.000,مروى,290,350,.00
,2015-07-12 00:00:00.000,الروصيرص,480,.00,.00
,2015-08-11 00:00:00.000,مروى,291,365,.00
,2015-08-22 00:00:00.000,الروصيرص,479,.00,.00
,2015-09-07 00:00:00.000,الروصيرص,480,.00,.00
,2015-09-12 00:00:00.000,مروى,301,552,.00
,2015-10-14 00:00:00.000,مروى,302,575,.00
,2015-10-16 00:00:00.000,الروصيرص,490,.00,.00
,2015-11-17 00:00:00.000,الروصيرص,493,.00,.00
,2015-11-28 00:00:00.000,مروى,302,575,.00
,2015-12-19 00:00:00.000,الروصيرص,494,.00,.00
,2015-12-28 00:00:00.000,مروى,302,575,.00
,2016-01-01 00:00:00.000,الروصيرص,494,.00,.00
,2016-01-07 00:00:00.000,مروى,302,575,.00
,2016-02-14 00:00:00.000,الروصيرص,492,.00,.00
,2016-02-16 00:00:00.000,مروى,302,575,.00
,2016-03-07 00:00:00.000,مروى,301,552,.00
,2016-03-11 00:00:00.000,الروصيرص,489,.00,.00
,2016-04-10 00:00:00.000,الروصيرص,487,.00,.00
,2016-04-26 00:00:00.000,مروى,297,469,.00
,2016-05-16 00:00:00.000,مروى,295,434,.00
,2016-05-20 00:00:00.000,الروصيرص,485,.00,.00
,2016-06-05 00:00:00.000,مروى,293,400,.00
,2016-07-15 00:00:00.000,مروى,293,400,.00
,2016-08-24 00:00:00.000,مروى,291,365,.00
,2016-08-28 00:00:00.000,الروصيرص,480,.00,.00
,2016-09-13 00:00:00.000,مروى,298,488,.00
,2016-09-15 00:00:00.000,الروصيرص,485,.00,.00
,2016-10-01 00:00:00.000,الروصيرص,493,.00,.00
,2016-10-13 00:00:00.000,مروى,301,552,.00
,2016-11-12 00:00:00.000,مروى,302,575,.00
,2016-11-16 00:00:00.000,الروصيرص,494,.00,.00
,2016-12-12 00:00:00.000,مروى,302,575,.00
,2016-12-16 00:00:00.000,الروصيرص,494,.00,.00
,2017-01-01 00:00:00.000,الروصيرص,494,.00,.00
,2017-01-01 00:00:00.000,مروى,302,575,.00
,2017-02-04 00:00:00.000,الروصيرص,493,.00,.00
,2017-02-10 00:00:00.000,مروى,301,552,.00
,2017-03-02 00:00:00.000,مروى,301,552,.00
,2017-03-06 00:00:00.000,الروصيرص,490,.00,.00
,2017-04-01 00:00:00.000,مروى,299,509,.00
,2017-04-05 00:00:00.000,الروصيرص,486,.00,.00
,2017-05-05 00:00:00.000,الروصيرص,485,.00,.00
,2017-05-11 00:00:00.000,مروى,299,509,.00
,2017-06-04 00:00:00.000,الروصيرص,482,.00,.00
,2017-06-10 00:00:00.000,مروى,294,417,.00
,2017-07-10 00:00:00.000,مروى,293,400,.00
,2017-07-14 00:00:00.000,الروصيرص,480,.00,.00
,2017-08-01 00:00:00.000,بحيرة السد العالي,173.45,,
,2017-08-02 00:00:00.000,بحيرة السد العالي,173.48,,
,2017-08-03 00:00:00.000,بحيرة السد العالي,173.5,,
,2017-08-03 00:00:00.000,الروصيرص,479,.00,.00
,2017-08-04 00:00:00.000,مروى,292,380,.00
