تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2021-06-15 00:00:00.000,بحيرة تانا,1787,3043,.00
,2021-06-20 00:00:00.000,بحيرة تانا,1787,3043,.00
,2021-06-25 00:00:00.000,بحيرة تانا,1787,3043,.00
,2021-06-29 00:00:00.000,بحيرة تانا,1786,2973,.00
,2021-07-05 00:00:00.000,بحيرة تانا,1787,3043,.00
,2021-07-10 00:00:00.000,بحيرة تانا,1787,3043,.00
,2021-07-23 00:00:00.000,بحيرة تانا,1788,3132,.00
,2021-08-16 00:00:00.000,بحيرة تانا,1788,3132,.00
,2021-09-08 00:00:00.000,بحيرة تانا,1788,3132,.00
,2021-10-03 00:00:00.000,بحيرة تانا,1788,3132,.00
,2021-11-17 00:00:00.000,بحيرة تانا,1788,3132,.00
,2022-02-28 00:00:00.000,بحيرة تانا,1788,3132,.00
,2022-04-01 00:00:00.000,بحيرة تانا,1787.5,3120,.00
,2022-04-11 00:00:00.000,بحيرة تانا,1787.5,3120,.00
,2022-04-21 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-05-01 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-05-06 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-05-21 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-05-26 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-05-31 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-06-05 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-06-10 00:00:00.000,بحيرة تانا,1787,3043,.00
,2022-06-15 00:00:00.000,بحيرة تانا,1787,3043,.00
