تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2017-01-24 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-01-24 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-01-24 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-01-24 00:00:00.000,بحيرة منخفض توشكي 4,108,135,1.3
,2017-02-23 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-02-23 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-02-23 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-02-23 00:00:00.000,بحيرة منخفض توشكي 4,108,135,1.3
,2017-03-25 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-03-25 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-03-25 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-03-25 00:00:00.000,بحيرة منخفض توشكي 4,108,135,1.3
,2017-04-24 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-04-24 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-04-24 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-04-24 00:00:00.000,بحيرة منخفض توشكي 4,108,135,1.3
,2017-05-04 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-05-04 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-05-04 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-05-04 00:00:00.000,بحيرة منخفض توشكي 4,108,135,1.3
,2017-06-23 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-06-23 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-06-23 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-06-23 00:00:00.000,بحيرة منخفض توشكي 4,107,127,1.1
,2017-07-23 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-07-23 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-07-23 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-07-23 00:00:00.000,بحيرة منخفض توشكي 4,107,127,1.1
,2017-08-17 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-08-17 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-08-17 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-08-17 00:00:00.000,بحيرة منخفض توشكي 4,107,127,1.1
,2017-09-20 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-09-20 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-09-20 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-09-20 00:00:00.000,بحيرة منخفض توشكي 4,107,127,1.1
,2017-10-16 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-10-16 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-10-16 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-10-16 00:00:00.000,بحيرة منخفض توشكي 4,106,120,1
,2017-11-20 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-11-20 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-11-20 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-11-20 00:00:00.000,بحيرة منخفض توشكي 4,106,120,1
,2017-12-30 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2017-12-30 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2017-12-30 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2017-12-30 00:00:00.000,بحيرة منخفض توشكي 4,105,113,.90
,2018-01-09 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-01-09 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-01-09 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-01-09 00:00:00.000,بحيرة منخفض توشكي 4,105,113,.90
,2018-02-18 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-02-18 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-02-18 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-02-18 00:00:00.000,بحيرة منخفض توشكي 4,105,113,.90
,2018-03-30 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-03-30 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-03-30 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-03-30 00:00:00.000,بحيرة منخفض توشكي 4,105,113,.90
,2018-04-19 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-04-19 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-04-19 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-04-19 00:00:00.000,بحيرة منخفض توشكي 4,105,113,.90
,2018-05-24 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-05-24 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-05-24 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-05-24 00:00:00.000,بحيرة منخفض توشكي 4,104,106,.86
,2018-06-13 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-06-13 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-06-13 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-06-13 00:00:00.000,بحيرة منخفض توشكي 4,103,100,.74
,2018-07-08 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-07-08 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-07-08 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-07-08 00:00:00.000,بحيرة منخفض توشكي 4,103,100,.74
,2018-08-16 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-08-16 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-08-16 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-08-16 00:00:00.000,بحيرة منخفض توشكي 4,103,100,.74
,2018-09-16 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-09-16 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-09-16 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-09-16 00:00:00.000,بحيرة منخفض توشكي 4,103,100,.74
,2018-10-11 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-10-11 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-10-11 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-10-11 00:00:00.000,بحيرة منخفض توشكي 4,102,93,.60
,2018-11-25 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-11-25 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-11-25 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-11-25 00:00:00.000,بحيرة منخفض توشكي 4,102,93,.60
,2018-12-30 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2018-12-30 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2018-12-30 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2018-12-30 00:00:00.000,بحيرة منخفض توشكي 4,102,93,.60
,2019-01-09 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-01-09 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-01-09 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-01-09 00:00:00.000,بحيرة منخفض توشكي 4,100,78,.48
,2019-02-15 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-02-15 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-02-15 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-02-15 00:00:00.000,بحيرة منخفض توشكي 4,100,78,.48
,2019-03-30 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-03-30 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-03-30 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-03-30 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-04-29 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-04-29 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-04-29 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-04-29 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-05-04 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-05-04 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-05-04 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-05-04 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-06-10 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-06-10 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-06-10 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-06-10 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-07-16 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-07-16 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-07-16 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-07-16 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-08-27 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-08-27 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-08-27 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-08-27 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-09-11 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-09-11 00:00:00.000,بحيرة منخفض توشكي 1,.00,.00,.00
,2019-09-11 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-09-11 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-10-11 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-10-11 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-10-11 00:00:00.000,بحيرة منخفض توشكي 1,138,200,2
,2019-10-11 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-11-10 00:00:00.000,بحيرة منخفض توشكي 1,148,347,5
,2019-11-10 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2019-11-10 00:00:00.000,بحيرة منخفض توشكي 2,.00,.00,.00
,2019-11-10 00:00:00.000,بحيرة منخفض توشكي 3,.00,.00,.00
,2019-12-10 00:00:00.000,بحيرة منخفض توشكي 1,158,530,9.9
,2019-12-10 00:00:00.000,بحيرة منخفض توشكي 2,136,154,1
,2019-12-10 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2020-01-09 00:00:00.000,بحيرة منخفض توشكي 1,158,530,9.9
,2020-01-09 00:00:00.000,بحيرة منخفض توشكي 2,137,172,1.2
,2020-01-09 00:00:00.000,بحيرة منخفض توشكي 3,141,98,1
,2020-01-09 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 1,157,500,9.4
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 2,138,189,1.3
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 3,145,124,1.4
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2020-03-14 00:00:00.000,بحيرة منخفض توشكي 1,156,485,8.9
