Decimal year,Date,Time,Height,Standard deviation,Area,Volume
1992.74099879,1992/09/28,04:56,1135.32,0.08,9999.999,9999.999
1992.79699833,1992/10/18,16:50,1135.3,0.08,9999.999,9999.999
1992.87399818,1992/11/15,21:12,1135.36,0.08,9999.999,9999.999
1992.95799939,1992/12/16,15:04,1135.43,0.1,9999.999,9999.999
1993.03599886,1993/01/14,03:21,1135.54,0.07,9999.999,9999.999
1993.11899924,1993/02/13,10:26,1135.49,0.08,9999.999,9999.999
1993.20499810,1993/03/16,19:47,1135.45,0.08,9999.999,9999.999
1993.29699962,1993/04/19,09:43,1135.46,0.09,9999.999,9999.999
1993.36599886,1993/05/14,14:09,1135.57,0.1,9999.999,9999.999
1993.44899924,1993/06/13,21:14,1135.64,0.09,9999.999,9999.999
1993.52699962,1993/07/12,08:31,1135.49,0.1,9999.999,9999.999
1993.62399924,1993/08/16,18:14,1135.35,0.09,9999.999,9999.999
1993.71599886,1993/09/19,08:09,1135.23,0.08,9999.999,9999.999
1993.79699962,1993/10/18,21:43,1135.11,0.06,9999.999,9999.999
1993.88000000,1993/11/18,04:48,1135.11,0.07,9999.999,9999.999
1993.96299848,1993/12/18,11:52,1135.08,0.1,9999.999,9999.999
1994.04399924,1994/01/17,01:26,1135,0.08,9999.999,9999.999
1994.12399924,1994/02/15,06:14,1134.95,0.08,9999.999,9999.999
1994.21299848,1994/03/19,17:52,1134.98,0.08,9999.999,9999.999
1994.29099886,1994/04/17,05:09,1135.06,0.09,9999.999,9999.999
1994.37199962,1994/05/16,18:43,1135.2,0.07,9999.999,9999.999
1994.45199962,1994/06/14,23:31,1135.27,0.06,9999.999,9999.999
1994.53799848,1994/07/16,08:52,1135.2,0.08,9999.999,9999.999
1994.61599886,1994/08/13,20:09,1135.14,0.08,9999.999,9999.999
1994.69699962,1994/09/12,09:43,1135.03,0.11,9999.999,9999.999
1994.79399924,1994/10/17,19:26,1135,0.08,9999.999,9999.999
1994.89099886,1994/11/22,05:09,1135.11,0.09,9999.999,9999.999
1994.96899924,1994/12/20,16:26,1135.27,0.09,9999.999,9999.999
1995.04899924,1995/01/18,21:14,1135.22,0.08,9999.999,9999.999
1995.12699962,1995/02/16,08:31,1135.23,0.08,9999.999,9999.999
1995.21599886,1995/03/20,20:09,1135.23,0.07,9999.999,9999.999
1995.29699962,1995/04/19,09:43,1135.36,0.08,9999.999,9999.999
1995.37999810,1995/05/19,16:47,1135.47,0.07,9999.999,9999.999
1995.46000000,1995/06/17,21:36,1135.52,0.08,9999.999,9999.999
1995.54399924,1995/07/18,13:26,1135.41,0.08,9999.999,9999.999
1995.61899924,1995/08/14,22:26,1135.37,0.08,9999.999,9999.999
1995.70199962,1995/09/14,05:31,1135.24,0.07,9999.999,9999.999
1995.77999810,1995/10/12,16:47,1135.22,0.07,9999.999,9999.999
1995.86599886,1995/11/13,02:09,1135.23,0.07,9999.999,9999.999
1995.97399924,1995/12/22,12:14,1135.23,0.08,9999.999,9999.999
1996.05499962,1996/01/21,03:07,1135.27,0.09,9999.999,9999.999
1996.13499924,1996/02/19,09:50,1135.39,0.05,9999.999,9999.999
1996.21899856,1996/03/21,03:41,1135.39,0.07,9999.999,9999.999
1996.29699833,1996/04/18,16:50,1135.63,0.08,9999.999,9999.999
1996.38299939,1996/05/20,04:16,1135.65,0.08,9999.999,9999.999
1996.45999924,1996/06/17,08:38,1135.65,0.06,9999.999,9999.999
1996.54399856,1996/07/18,02:29,1135.6,0.09,9999.999,9999.999
