TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
19920927 19 36    999.99   9999.99
19921007 17 34      0.46   1135.57
19921017 15 33      0.47   1135.58
19921027 13 31      0.49   1135.61
19921106 11 30      0.50   1135.62
19921116  9 28      0.51   1135.63
19921126  7 27      0.52   1135.64
19921206  5 25      0.54   1135.66
19921216  3 24      0.55   1135.67
19921226  1 22      0.58   1135.70
19930104 23 21      0.61   1135.73
19930114 21 19      0.63   1135.75
19930124 19 18      0.64   1135.76
19930203 17 16      0.64   1135.76
19930213 15 15      0.63   1135.75
19930223 13 13      0.62   1135.74
19930305 11 12      0.62   1135.73
19930315  9 11      0.61   1135.73
19930325  7  9      0.60   1135.72
19930404  5  8      0.60   1135.71
19930414  3  6      0.59   1135.71
19930424  1  5      0.60   1135.72
19930503 23  3      0.63   1135.75
19930513 21  2      0.67   1135.79
19930523 19  0      0.70   1135.82
19930602 16 59      0.73   1135.85
19930612 14 57      0.74   1135.85
19930622 12 56      0.72   1135.84
19930702 10 54      0.68   1135.80
19930712  8 53      0.64   1135.76
19930722  6 51      0.59   1135.71
19930801  4 50      0.53   1135.65
19930811  2 48      0.48   1135.60
19930821  0 47      0.44   1135.56
19930830 22 45      0.40   1135.52
19930909 20 44      0.36   1135.47
19930919 18 42      0.32   1135.44
19930929 16 41      0.29   1135.41
19931009 14 40      0.27   1135.39
19931019 12 38      0.24   1135.36
19931029 10 37      0.23   1135.35
19931108  8 35      0.22   1135.34
19931118  6 34      0.20   1135.32
19931128  4 32      0.19   1135.31
19931208  2 31      0.18   1135.30
19931218  0 29      0.16   1135.28
19931227 22 28      0.15   1135.27
19940106 20 26      0.14   1135.26
19940116 18 25      0.13   1135.25
19940126 16 23      0.12   1135.24
19940205 14 22      0.11   1135.22
19940215 12 20      0.10   1135.22
19940225 10 19      0.10   1135.21
19940307  8 17      0.10   1135.22
99999999 99 99    999.99   9999.99
19940327  4 14      0.10   1135.22
19940406  2 13      0.12   1135.24
19940416  0 11      0.16   1135.28
19940425 22 10      0.19   1135.31
19940505 20  9      0.24   1135.36
19940515 18  7      0.29   1135.41
19940525 16  6      0.33   1135.45
19940604 14  4      0.35   1135.47
19940614 12  3      0.35   1135.47
19940624 10  1      0.34   1135.46
19940704  8  0      0.32   1135.44
19940714  5 58      0.30   1135.42
19940724  3 57      0.28   1135.40
19940803  1 55      0.26   1135.38
19940812 23 54      0.23   1135.35
19940822 21 52      0.20   1135.32
19940901 19 51      0.17   1135.29
19940911 17 49      0.15   1135.27
19940921 15 48      0.14   1135.26
19941001 13 46      0.13   1135.24
19941011 11 45      0.11   1135.23
19941021  9 43      0.13   1135.25
19941031  7 42      0.14   1135.26
19941110  5 40      0.17   1135.29
19941120  3 39      0.23   1135.34
19941130  1 38      0.28   1135.40
19941209 23 36      0.32   1135.44
19941219 21 35      0.35   1135.47
19941229 19 33      0.36   1135.48
19950108 17 32      0.36   1135.48
19950118 15 30      0.35   1135.47
19950128 13 29      0.34   1135.46
19950207 11 27      0.34   1135.46
19950217  9 26      0.35   1135.46
19950227  7 24      0.35   1135.46
19950309  5 23      0.35   1135.46
19950319  3 21      0.35   1135.46
19950329  1 20      0.35   1135.47
19950407 23 18      0.37   1135.49
19950417 21 17      0.41   1135.53
19950427 19 15      0.46   1135.58
19950507 17 14      0.51   1135.63
19950517 15 12      0.55   1135.67
19950527 13 11      0.59   1135.71
19950606 11  9      0.61   1135.72
19950616  9  8      0.60   1135.72
19950626  7  7      0.59   1135.71
19950706  5  5      0.57   1135.69
19950716  3  4      0.55   1135.67
19950726  1  2      0.52   1135.64
19950804 23  1      0.49   1135.61
19950814 20 59      0.45   1135.57
19950824 18 58      0.42   1135.54
19950903 16 56      0.39   1135.51
19950913 14 55      0.37   1135.49
19950923 12 53      0.35   1135.47
19951003 10 52      0.34   1135.46
19951013  8 50      0.34   1135.46
19951023  6 49      0.34   1135.45
19951102  4 47      0.33   1135.45
19951112  2 46      0.33   1135.45
19951122  0 44      0.33   1135.45
99999999 99 99    999.99   9999.99
19951211 20 41      0.34   1135.46
19951221 18 40      0.35   1135.47
19951231 16 38      0.36   1135.48
19960110 14 37      0.38   1135.50
99999999 99 99    999.99   9999.99
