TPJOJ.2.4                  : Data Processing Version ID
000402 Tana_1              : Target database id number and name
 12.090  37.410            : Latitude and longitude (degrees East) of target mid-point
 12.199  11.950            : Latitude range of pass traversing target at which data is accepted
 94      47                : Satellite pass and revolution number designation
         38                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
19920926 19 10    999.99   9999.99
19921006 17  8      1.51   1787.72
19921016 15  7    999.99   9999.99
19921026 13  5      1.78   1787.99
19921105 11  4      1.68   1787.89
19921115  9  2      1.62   1787.83
19921125  7  1      1.48   1787.69
19921205  4 59    999.99   9999.99
19921215  2 58    999.99   9999.99
19921225  0 56    999.99   9999.99
19930103 22 55    999.99   9999.99
19930113 20 53      1.33   1787.54
19930123 18 52      1.19   1787.40
19930202 16 51    999.99   9999.99
19930212 14 49      1.05   1787.26
19930222 12 48      0.98   1787.19
19930304 10 46      0.93   1787.14
19930314  8 45      0.88   1787.09
19930324  6 43      0.81   1787.02
19930403  4 42      0.74   1786.95
19930413  2 40      0.68   1786.89
19930423  0 39      0.64   1786.85
19930502 22 37      0.59   1786.80
19930512 20 36    999.99   9999.99
19930522 18 34    999.99   9999.99
19930601 16 33      0.59   1786.80
19930611 14 31      0.60   1786.81
19930621 12 30      0.66   1786.87
19930701 10 28      0.79   1787.00
19930711  8 27      1.01   1787.22
19930721  6 25    999.99   9999.99
19930731  4 24      1.20   1787.41
19930810  2 22    999.99   9999.99
19930820  0 21      1.45   1787.66
19930829 22 19    999.99   9999.99
19930908 20 18      1.68   1787.89
19930918 18 17      1.81   1788.02
19930928 16 15      1.84   1788.05
19931008 14 14    999.99   9999.99
19931018 12 12      1.86   1788.07
19931028 10 11    999.99   9999.99
19931107  8  9      1.78   1787.99
19931117  6  8      1.68   1787.89
19931127  4  6      1.56   1787.77
19931207  2  5      1.46   1787.67
19931217  0  3    999.99   9999.99
19931226 22  2      1.34   1787.55
19940105 20  0    999.99   9999.99
19940115 17 59      1.25   1787.46
19940125 15 57      1.17   1787.38
19940204 13 56      1.10   1787.31
19940214 11 54      1.03   1787.24
19940224  9 53      0.96   1787.17
19940306  7 51      0.86   1787.07
19940316  5 50    999.99   9999.99
19940326  3 48      0.74   1786.95
19940405  1 47    999.99   9999.99
19940414 23 46      0.64   1786.85
19940424 21 44    999.99   9999.99
19940504 19 43    999.99   9999.99
19940514 17 41      0.55   1786.76
19940524 15 40      0.50   1786.71
19940603 13 38      0.53   1786.74
19940613 11 37      0.59   1786.80
19940623  9 35    999.99   9999.99
19940703  7 34      0.70   1786.91
19940713  5 32      0.94   1787.15
19940723  3 31      1.30   1787.51
19940802  1 29    999.99   9999.99
19940811 23 28      1.61   1787.82
19940821 21 26    999.99   9999.99
19940831 19 25      1.88   1788.09
19940910 17 23      2.09   1788.30
19940920 15 22      2.13   1788.34
19940930 13 20    999.99   9999.99
19941010 11 19      2.03   1788.24
19941020  9 17      1.86   1788.07
19941030  7 16      1.72   1787.93
19941109  5 15    999.99   9999.99
19941119  3 13      1.56   1787.77
19941129  1 12    999.99   9999.99
19941208 23 10      1.41   1787.62
19941218 21  9      1.28   1787.49
19941228 19  7      1.21   1787.42
19950107 17  6    999.99   9999.99
19950117 15  4    999.99   9999.99
19950127 13  3      1.13   1787.34
19950206 11  1      1.06   1787.27
19950216  9  0      1.01   1787.22
19950226  6 58      0.96   1787.17
19950308  4 57      0.89   1787.10
19950318  2 55    999.99   9999.99
19950328  0 54      0.80   1787.01
19950406 22 52    999.99   9999.99
19950416 20 51    999.99   9999.99
19950426 18 49      0.73   1786.94
19950506 16 48      0.67   1786.88
19950516 14 46      0.61   1786.82
19950526 12 45      0.59   1786.80
19950605 10 44      0.60   1786.81
19950615  8 42      0.60   1786.81
19950625  6 41      0.61   1786.82
19950705  4 39      0.76   1786.97
19950715  2 38      1.00   1787.21
19950725  0 36    999.99   9999.99
19950803 22 35      1.28   1787.49
19950813 20 33    999.99   9999.99
19950823 18 32      1.57   1787.78
19950902 16 30      1.87   1788.08
19950912 14 29      2.03   1788.24
19950922 12 27      2.06   1788.27
19951002 10 26      2.05   1788.26
19951012  8 24      1.99   1788.20
19951022  6 23      1.91   1788.12
19951101  4 21      1.83   1788.04
19951111  2 20      1.74   1787.95
19951121  0 18      1.64   1787.85
99999999 99 99    999.99   9999.99
19951210 20 16    999.99   9999.99
19951220 18 14    999.99   9999.99
19951230 16 13      1.56   1787.77
19960109 14 11      1.48   1787.69
19960119 12 10      1.39   1787.60
