S3B.2.1                    : Data Processing Version ID
001597 Tekeze              : Target database id number and name
 13.180  38.660            : Latitude and longitude (degrees East) of target mid-point
 13.292  13.017            : Latitude range of pass traversing target at which data is accepted
 98      49                : Satellite pass and revolution number designation
         56                : Reference pass derived from Sen-3B cycle #
          1                : Reference pass tracker mode (ocean=0, ice1=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Sentinel-3B reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
20181220  7 49    999.99   9999.99
20190116  7 49    999.99   9999.99
20190212  7 49    999.99   9999.99
20190311  7 49    999.99   9999.99
20190407  7 49    999.99   9999.99
20190504  7 49    999.99   9999.99
20190531  7 49    999.99   9999.99
20190627  7 49    999.99   9999.99
20190724  7 49    999.99   9999.99
20190820  7 49    999.99   9999.99
20190916  7 49    999.99   9999.99
20191013  7 49    999.99   9999.99
20191109  7 49    999.99   9999.99
20191206  7 49    999.99   9999.99
20200102  7 49    999.99   9999.99
20200129  7 49    999.99   9999.99
20200225  7 49    999.99   9999.99
20200323  7 49    999.99   9999.99
20200419  7 49    999.99   9999.99
20200516  7 49    999.99   9999.99
20200612  7 49    999.99   9999.99
20200709  7 50    999.99   9999.99
20200805  7 50    999.99   9999.99
20200901  7 50    999.99   9999.99
20200928  7 50    999.99   9999.99
20201025  7 50    999.99   9999.99
20201121  7 50    999.99   9999.99
20201218  7 50    999.99   9999.99
20210114  7 50    999.99   9999.99
20210210  7 50    999.99   9999.99
20210309  7 50    999.99   9999.99
20210405  7 58    999.99   9999.99
20210502  7 50    999.99   9999.99
20210529  7 50    999.99   9999.99
20210625  7 50    999.99   9999.99
20210722  7 50    999.99   9999.99
20210818  7 50      0.00   1145.68
20210914  7 50      0.96   1146.64
20211011  7 50      0.90   1146.58
20211107  7 50      0.99   1146.67
20211204  7 50      0.72   1146.40
20211231  7 50      0.22   1145.90
20220127  7 50     -0.37   1145.31
20220223  7 50     -1.16   1144.52
20220322  7 50     -2.13   1143.55
