S3B.2.1                    : Data Processing Version ID
101296 Millennium          : Target database id number and name
 10.600  35.190            : Latitude and longitude (degrees East) of target mid-point
 10.538  10.550            : Latitude range of pass traversing target at which data is accepted
711     356                : Satellite pass and revolution number designation
         41                : Reference pass derived from Sen-3B cycle #
          1                : Reference pass tracker mode (ocean=0, ice1=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Sentinel-3B reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
99999999 99 99    999.99   9999.99
20181214 19 32    999.99   9999.99
20190110 19 32    999.99   9999.99
20190206 19 32    999.99   9999.99
20190305 19 32     -5.24    560.56
20190401 19 32     -5.04    560.76
20190428 19 32     -3.84    561.96
20190525 19 32    999.99   9999.99
20190621 19 32     -3.11    562.69
20190718 19 32     -2.38    563.42
20190814 19 32     -1.81    563.99
20190910 19 32     -1.99    563.81
20191007 19 32     -2.63    563.17
20191103 19 32     -3.28    562.52
20191130 19 32    999.99   9999.99
20191227 19 32    999.99   9999.99
20200123 19 32    999.99   9999.99
20200219 19 32    999.99   9999.99
20200317 19 32     -3.97    561.83
20200413 19 32     -4.10    561.70
20200510 19 32     -3.39    562.41
20200606 19 32    999.99   9999.99
20200703 19 32     -2.21    563.59
20200730 19 32     -1.03    564.77
20200826 19 32     -0.09    565.71
20200922 19 32     -0.03    565.77
20201019 19 32     -0.82    564.98
20201115 19 32     -1.97    563.83
20201212 19 32    999.99   9999.99
20210108 19 32     -3.12    562.68
20210204 19 32     -3.99    561.81
20210303 19 32     -4.24    561.56
20210330 19 32     -2.30    563.50
20210426 19 58    999.99   9999.99
20210523 19 32    999.99   9999.99
20210619 19 32      1.78    567.58
20210716 19 32      5.86    571.66
20210812 19 32      9.62    575.42
20210908 19 32     12.85    578.65
20211005 19 32     13.90    579.70
20211101 19 32     12.90    578.70
20211128 19 32    999.99   9999.99
20211225 19 32     11.89    577.69
20220121 19 32     10.79    576.59
20220217 19 32      9.95    575.75
20220316 19 32      9.47    575.27
20220412 19 32      8.56    574.36
20220509 19 33      8.56    574.36
20220605 19 33      8.04    573.84
