Date,MWRI GERD Value
2020/07/03,525
2020/07/09,539
2020/07/11,545
2020/07/15,554
2020/07/20,563
2020/07/28,567
2020/08/10,568
2020/09/01,567
2020/09/06,567
2020/09/08,567
2020/09/11,565
2020/09/28,565
2020/10/01,564
2020/11/03,562
2020/11/25,561
2020/12/12,560
2020/12/31,560
2021/01/04,560
2021/01/14,560
2021/02/08,560
2021/04/19,559
2021/05/24,560
2021/06/08,559
2021/07/03,563
2021/07/13,568
2021/07/16,571
2021/07/20,574
2021/07/28,578
2021/08/02,581
2021/08/07,582
2021/08/09,582
2021/08/21,580
2021/08/27,580
2021/09/01,580
2021/09/02,580
2021/09/07,580
2021/09/14,580
2021/09/16,580
2021/09/21,580
2021/09/26,580
2021/10/01,580
2021/10/08,580
2021/10/16,580
2021/10/21,579
2021/10/25,579
2021/11/02,578
2021/11/08,577
2021/11/20,576
2021/11/25,576
2021/11/30,576
2021/12/05,576
2021/12/09,576
2021/12/20,575
2021/12/25,575
2021/12/28,575
2021/12/30,575
2022/01/04,575
2022/01/24,575
2022/02/28,575
2022/03/20,574
2022/03/25,573
2022/03/30,572
2022/04/04,572
2022/04/09,572
2022/04/14,571
2022/04/19,571
2022/04/25,571
2022/04/29,571
2022/05/05,571
